Season,Year,City,Name,Sex,NOC,Discipline,Event,Medal
Summer,1900,Paris,JARVIS John,Male,GBR,Swimming,1000 metres Freestyle - Men,Gold
Summer,1900,Paris,WAHLE Otto,Male,AUT,Swimming,1000 metres Freestyle - Men,Silver
Summer,1900,Paris,DROST Johannes,Male,NED,Swimming,200 metres Backstroke - Men,Bronze
Summer,1900,Paris,HOPPENBERG Ernst,Male,GER,Swimming,200 metres Backstroke - Men,Gold
Summer,1900,Paris,RUBERL Karl,Male,AUT,Swimming,200 metres Backstroke - Men,Silver
Summer,1900,Paris,RUBERL Karl,Male,AUT,Swimming,200 metres Freestyle - Men,Bronze
Summer,1900,Paris,LANE Fred,Male,GBR,Swimming,200 metres Freestyle - Men,Gold
Summer,1900,Paris,HALMAY Zoltán,Male,HUN,Swimming,200 metres Freestyle - Men,Silver
Summer,1900,Paris,KEMP Peter,Male,GBR,Swimming,200 metres Obstacle Course - Men,Bronze
Summer,1900,Paris,LANE Fred,Male,GBR,Swimming,200 metres Obstacle Course - Men,Gold
Summer,1900,Paris,WAHLE Otto,Male,AUT,Swimming,200 metres Obstacle Course - Men,Silver
Summer,1900,Paris,LEUILLIEUX Georges,Male,FRA,Swimming,200 metres Team Swimming - Men,Bronze
Summer,1900,Paris,MARTIN Louis,Male,FRA,Swimming,200 metres Team Swimming - Men,Bronze
Summer,1900,Paris,MÉRCHEZ Désiré,Male,FRA,Swimming,200 metres Team Swimming - Men,Bronze
Summer,1900,Paris,TARTARA René,Male,FRA,Swimming,200 metres Team Swimming - Men,Bronze
Summer,1900,Paris,HAINLE Max,Male,GER,Swimming,200 metres Team Swimming - Men,Gold
Summer,1900,Paris,HOPPENBERG Ernst,Male,GER,Swimming,200 metres Team Swimming - Men,Gold
Summer,1900,Paris,LÜHRSEN Ernst,Male,GER,Swimming,200 metres Team Swimming - Men,Gold
Summer,1900,Paris,LEXAU Gustav,Male,GER,Swimming,200 metres Team Swimming - Men,Gold
Summer,1900,Paris,HOCHEPIED Victor,Male,FRA,Swimming,200 metres Team Swimming - Men,Silver
Summer,1900,Paris,BERTRAND Joseph,Male,FRA,Swimming,200 metres Team Swimming - Men,Silver
Summer,1900,Paris,CADET Victor,Male,FRA,Swimming,200 metres Team Swimming - Men,Silver
Summer,1900,Paris,HOCHEPIED Maurice,Male,FRA,Swimming,200 metres Team Swimming - Men,Silver
Summer,1900,Paris,VERBECKE Jules,Male,FRA,Swimming,200 metres Team Swimming - Men,Silver
Summer,1900,Paris,MARTIN Louis,Male,FRA,Swimming,4000 metres Freestyle - Men,Bronze
Summer,1900,Paris,JARVIS John,Male,GBR,Swimming,4000 metres Freestyle - Men,Gold
Summer,1900,Paris,HALMAY Zoltán,Male,HUN,Swimming,4000 metres Freestyle - Men,Silver
Summer,1900,Paris,LYKKEBERG Peder,Male,DEN,Swimming,Underwater Swimming - Men,Bronze
Summer,1900,Paris,DEVENDEVILLE Charles,Male,FRA,Swimming,Underwater Swimming - Men,Gold
Summer,1900,Paris,SIX André,Male,FRA,Swimming,Underwater Swimming - Men,Silver
Summer,1900,Paris,BURGESS Bill,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,CAMELIN Auguste,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,CLÉVENOT Jules,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,COULON Eugène,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,DECUYPER Alphonse,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,FARDEL ,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,GELLÉ Pierre,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,LAUFRAY Louis,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,MARC Louis,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,MARTIN Louis,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,MÉRCHEZ Désiré,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,PESLIER Henri,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,PESLOY Auguste,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,VASSEUR Paul,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,FIOLET Antoine,Male,FRA,Water Polo,Water Polo - Men,Bronze
Summer,1900,Paris,CRAWSHAW Robert,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,HENRY William,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,JARVIS John,Male,GBR,Water Polo,Water Polo - Men,Gold
Summer,1900,Paris,KEMP Peter,Male,GBR,Water Polo,Water Polo - Men,Gold
