Year,Position,Name,NOC,Time,Record
1996,-,Earl McCarthy,IRL,50.99,
1996,-,Shunsuke Ito,JPN,51.29,
1996,-,Attila Zubor,HUN,50.43,
1996,-,Trent Bray,NZL,51.18,
1996,-,Richard Sam Bera,INA,51.25,
1996,-,Yoav Bruck,ISR,50.61,
1996,-,Nicolae Ivan,ROU,51.14,
1996,-,Bela Szabados,HUN,51.26,
1996,-,Jose Martin Meolans,ARG,52.02,
1996,-,Lars Frölander,SWE,49.91,
1996,-,Vladimir Predkin,RUS,50.75,
1996,-,Salim Iles,ALG,50.87,
1996,-,Nicholas Shackell,GBR,51.03,
1992,1, Alexander Popov,EUN,49.02,
1992,2, Gustavo Borges,BRA,49.43,
1992,3, Stephan Caron,FRA,49.5,
1992,4, Jon Olsen,USA,49.51,
1992,5, Matthew Biondi,USA,49.53,
1992,6, Tommy Werner,SWE,49.63,
1992,7, Christian Tröger,GER,49.84,
1992,8, Gennady Prigoda,EUN,50.25,
1992,9, Ricardo Busquets,PUR,49.92,
1992,10, Raimundas Mazuolis,LTU,50.13,
1992,11, Christophe Kalfayan,FRA,50.49,
1992,12, Nils Rudolph,GER,50.62,
1992,13, John Steel,NZL,50.69,
1992,14, Christopher Fydler,AUS,50.78,
1992,15, Roberto Gleria,ITA,50.81,
1992,16, Andrew Baildon,AUS,50.93,
1992,-,Mladen Kapor,IOA,51.44,
1992,-,Mouhamedou Diop,SEN,55.82,
1992,-,Bruno Ndiaye,SEN,56.39,
1992,-,Kenny Roberts,SEY,58.86,
1992,-,Foy Gordon Chung,FIJ,01:04.0,
1992,-,Ahmed Imthiyaz,MDV,01:05.0,
1992,-,Mohamed Rasheed,MDV,01:06.1,
1992,-,Adrian Romero,GUM,54.77,
1992,-,Emile Lahoud,LIB,55.51,
1992,-,Hussein Al Sadiq,KSA,55.96,
1992,-,Ahmad Faraj,UAE,56.05,
1992,-,Ivan Roberts,SEY,56.15,
1992,-,Mohamed Bin Abid,UAE,56.82,
1992,-,Carl Probert,FIJ,57.25,
1992,-,Ian Raynor,BER,53.16,
1992,-,Rhoderick McGown,ZIM,53.65,
1992,-,Plutarco Castellanos Dusavage,HON,54.66,
1992,-,Gustavo Bucaro Ortiz,GUA,54.74,
1992,-,Laurent Paul Alfred,ISV,54.89,
1992,-,Helder Torres Quintano,GUA,55.38,
1992,-,Jarrah Al Asmawi,KUW,56.72,
1992,-,Shigeo Ogata,JPN,52.74,
1992,-,Enrico Linscheer,SUR,52.94,
1992,-,Geri Mewett,BER,53.14,
1992,-,Mohamed El Azoul,EGY,53.31,
1992,-,Nikolaos Paleokrassas,GRE,53.47,
1992,-,Wi Jin Yeo,SIN,54.44,
1992,-,Frank Leskaj,ALB,55.5,
1992,-,Janne Blomqvist,FIN,51.86,
1992,-,Kai Yien Li,HKG,52.22,
1992,-,Allan Murray,BAH,52.43,
1992,-,Stavros Mikhaelides,CYP,52.54,
1992,-,Ivor Le Roux,ZIM,52.92,
1992,-,Marc Verbeeck,BEL,52.97,
1992,-,Sebastian Lasave Crespi,ARG,53.08,
1992,-,Patrick Sagisi,GUM,53.9,
1992,-,Stefan Volery,SUI,51.05,
1992,-,Indrek Sei,EST,51.47,
1992,-,Krzysztof Cwalina,POL,51.7,
1992,-,Nicholas Sanders,NZL,51.77,
1992,-,Giovanni Linscheer,SUR,51.82,
1992,-,Michael Wright,HKG,51.88,
1992,-,Xie Jun,CHN,51.94,
1992,-,Darren Ward,CAN,52.05,
1992,-,Rodrigo Gonzalez Sesma,MEX,51.04,
1992,-,Jarl Melberg,NOR,51.39,
1992,-,Seddon Keyter,RSA,51.42,
1992,-,Yoav Bruck,ISR,51.46,
1992,-,Yves Clausse,LUX,51.47,
1992,-,Tsutomu Nakano,JPN,51.63,
1992,-,Giorgio Lamberti,ITA,50.65,
1992,-,Stephen Clarke,CAN,50.73,
1992,-,Jonas Haakan Karlsson,SWE,50.73,
1992,-,Bela Szabados,HUN,50.78,
1992,-,Mehmet Taner,TUR,51.34,
1992,-,Michael Fibbens,GBR,50.93,
1992,-,Emanuel Nascimento Fortes,BRA,51.17,
1992,-,Franz Mortensen,DEN,51.29,
1992,-,Paul Howe,GBR,51.12,
1988,1, Matthew Biondi,USA,48.63,OR
1988,2, Christopher Jacobs,USA,49.08,
1988,3, Stephan Caron,FRA,49.62,
1988,4, Gennady Prigoda,URS,49.75,
1988,5, Yuri Bashkatov,URS,50.08,
1988,6, Andrew Baildon,AUS,50.23,
1988,7, Per Johansson,SWE,50.35,
1988,8, Tommy Werner,SWE,50.54,
1988,9, Thomas Stachewicz,AUS,50.71,
1988,10, Donald Goss,CAN,50.73,
1988,11, Stefan Volery,SUI,50.74,
1988,12, Sven Lodziewski,GDR,51,
1988,13, Franz Mortensen,DEN,51.05,
1988,14, Thomas Fahrner,FRG,51.12,
1988,15, Tsvetan Golomeev,BUL,51.16,
1988,16, Hilton Woods,AHO,51.25,
1988,-,Garvin Ferguson,BAH,53.62,
1988,-,Paul Yelle,BAR,55.35,
1988,-,Sergio Fafitine,MOZ,57.1,
1988,-,Jason Chute,FIJ,58.14,
1988,-,Mohamed Bin Abid,UAE,58.81,
1988,-,Emile Lahoud,LIB,01:02.4,
1988,-,Yul Du Pont,SWZ,01:02.7,
1988,-,Mouhamedou Diop,SEN,54.93,
1988,-,Plutarco Castellanos Dusavage,HON,56.11,
1988,-,Warren Sorby,FIJ,56.66,
1988,-,Pablo Barahona,HON,57.97,
1988,-,Michele Piva,SMR,57.99,
1988,-,Filippo Piva,SMR,58.39,
1988,-,Ahmad Faraj,UAE,59.1,
1988,-,Trevor Ncala,SWZ,59.25,
1988,-,Jin Gee Oon,SIN,53.26,
1988,-,Hans Foerster,ISV,54.29,
1988,-,Kwon Sang-won,KOR,54.34,
1988,-,Song Kwang-sun,KOR,54.63,
1988,-,Ronald Pickard,ISV,54.72,
1988,-,Graham Thompson,ZIM,55.2,
1988,-,Pedro Barata Lima,ANG,55.53,
1988,-,Hasan Al Shammari,KUW,56.44,
1988,-,Manuel Guzman,PUR,51.25,
1988,-,Moustafa Amin Amer,EGY,53.57,
1988,-,Michael Wright,HKG,53.64,
1988,-,Li Khai Kam,HKG,53.7,
1988,-,Rene Concepcion,PHI,53.84,
1988,-,Jonathan Sakovich,GUM,54.24,
1988,-,Chiang Chi-li,TPE,55.87,
1988,-,Shigeo Ogata,JPN,52.08,
1988,-,Carlos Scanavino,URU,52.52,
1988,-,Markus Opatril,AUT,52.66,
1988,-,Murat Tahir,TUR,53.27,
