Team,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,AVG,Continent
Turkey,,15000000,13877000,14928000,17821000,21121639,28217122,35758382,45048000,56561000,67329000,72326988,84339067,39360599.83,Asia
Turkmenistan,,,,,,1204075,1584820,2181272,2875133,3658000,4385000,5087213,6031200,3375839.125,Asia
Tuvalu,,,,,,4676,5264,5815,7490,9168,10838,10530,11792,8196.625,Oceania
Uganda,3507456.909,3236749.322,3172593.854,3755121.624,4315226.119,5158000,6787000,9743000,12415000,17456000,23956000,32428167,45741007,13205486.29,Africa
Ukraine,,,,,,36774854,42644035,47235697,50046649,51622275,49007559,45792090,43733762,45857115.13,Europe
United Arab Emirates,,50995,,,,71520,103048,249369,1000285,1826000,3219000,8549988,9890402,2773400.778,Asia
United Kingdom,41155000,44916000,46821000,45866000,48226000,50127000,52372000,55632000,56314000,57493307,59522468,63459808,67886011,53060814.92,Europe
United States,76391000,92767000,106881000,123668000,132637000,152271000,180671000,205052000,227726463,250131894,282158000,309011475,331002651,190028344.8,North America
Uruguay,915000,1081000,1371000,1713000,1965000,2194275,2530969,2823659,2919851,3110000,3328000,3359275,3473730,2368058.385,South America
Uzbekistan,,,,,,6292797,8531032,11940155,15994000,20530000,25042000,28515909,33469203,18789387,Asia
Vanuatu,,67000,60000,60000,50000,52000,66087,85400,116771,153785,189618,236211,307145,120334.75,Oceania
Venezuela,2542000,2805000,2992000,3300000,3784000,5009006,7556483,10758017,14767890,19325222,23493000,28439940,28435940,11785269.08,South America
Vietnam,11500000,19339000,,17702000,18972000,25348144,31656282,42576676,53715202,67282704,79060410,87967651,97338579,46038220.67,Asia
Yemen,3000000,3284000,,,,4777089,5871831,7098239,9132545,12416080,17495000,23154855,29825964,11605560.3,Asia
Zambia,1673332.866,1575600.773,1513699.158,1756709.67,2018736.065,2413000,3138000,4251612,5699777,7978000,10205000,13605984,18383955,5708723.579,Africa
Zimbabwe,1100350.053,1295313.224,1510739.75,1860021.768,2271462.314,2747000,3751000,5514536,7169968,10156000,11820000,12697723,14862924,5904387.547,Africa
