NOC,Year,Efficiency
FIN,2011,0.4024056452093778
FIN,2012,0.2770669148199949
FIN,2013,0.19411283670910473
FIN,2014,0.1536327183541224
FIN,2015,0.15391513079133423
FIN,2016,0.1916517318478701
FIN,2017,0.26222571461058664
FIN,2018,0.3600586426530614
FIN,2019,0.4789866497593498
FIN,2020,0.6126369915034995
FIN,2021,0.7547785188547147
FIN,2022,0.8996243227979188
FIN,2023,1.0420709168396058
FIN,2024,1.1778651371456383
HUN,2005,1.9988268759614094
HUN,2006,1.7090096764770317
HUN,2007,1.4266485528575998
HUN,2008,1.1610059054705095
HUN,2009,0.9205896456329601
HUN,2010,0.7127053233762366
HUN,2011,0.543088206168342
HUN,2012,0.41564110943021504
HUN,2013,0.33229465415753445
HUN,2014,0.29299614651698747
HUN,2015,0.2958225317356291
HUN,2016,0.3372029621951169
HUN,2017,0.4122283983432453
HUN,2018,0.5150200512659495
HUN,2019,0.6391257838270121
HUN,2020,0.7779138758403112
HUN,2021,0.924936562839795
HUN,2022,1.0742409414700314
HUN,2023,1.2206114759493252
HUN,2024,1.3597356344504856
AUS,2005,1.867434704205089
AUS,2006,1.6105914668851795
AUS,2007,1.3588564283084497
AUS,2008,1.1203213991497825
AUS,2009,0.9024742971390547
AUS,2010,0.7118113499519005
AUS,2011,0.5535156273258786
AUS,2012,0.43122407841747745
AUS,2013,0.3468976069510561
AUS,2014,0.3007999187461581
AUS,2015,0.29158183871412313
AUS,2016,0.3164594312037432
AUS,2017,0.37146737258371076
AUS,2018,0.4517642217115434
AUS,2019,0.5519638549112804
AUS,2020,0.6664674345722534
AUS,2021,0.7897726502278395
AUS,2022,0.916741168931291
AUS,2023,1.0428106651495763
AUS,2024,1.164143806431764
LTU,2005,2.1091254772030164
LTU,2006,1.8054111137236983
LTU,2007,1.5080447837757402
LTU,2008,1.2267099621418076
LTU,2009,0.9703687717780172
LTU,2010,0.7467922752744531
LTU,2011,0.5621699517380305
LTU,2012,0.42082569100496325
LTU,2013,0.32505844511997584
LTU,2014,0.2751150042605266
LTU,2015,0.2692913237498127
LTU,2016,0.3041485436194922
LTU,2017,0.3748213111009848
LTU,2018,0.4753900000516458
LTU,2019,0.5992853639177822
LTU,2020,0.7396941546483298
LTU,2021,0.8899370461295737
LTU,2022,1.0437952918157105
LTU,2023,1.1957692000917302
LTU,2024,1.3412589112269702
RUS,2005,1.7606004652028642
RUS,2006,1.5128880149783714
RUS,2007,1.270924010383293
RUS,2008,1.0425205812775624
RUS,2009,0.8348682347385477
RUS,2010,0.6541625506815192
RUS,2011,0.5052974374414034
RUS,2012,0.39164611751906864
RUS,2013,0.3149434372428679
RUS,2014,0.27527444411077506
RUS,2015,0.27116535146521215
RUS,2016,0.2997649035866121
RUS,2017,0.3570975431927408
RUS,2018,0.43836524445150427
RUS,2019,0.5382727259355666
RUS,2020,0.6513510372487212
RUS,2021,0.7722569933859067
RUS,2022,0.8960301682826965
RUS,2023,1.018294563462845
RUS,2024,1.1353979858432426
JPN,2005,1.6739766957251614
JPN,2006,1.4440948495075785
JPN,2007,1.2181102421811196
JPN,2008,1.0031402490922143
JPN,2009,0.8057875255262601
JPN,2010,0.6318043769075226
JPN,2011,0.4858144052242934
JPN,2012,0.3711102155915833
JPN,2013,0.2895393993517448
JPN,2014,0.24148350995165457
JPN,2015,0.22592709101207364
JPN,2016,0.24060676921693935
JPN,2017,0.28222465503685945
JPN,2018,0.3467062956486824
JPN,2019,0.4294814691286144
JPN,2020,0.5257662309278188
JPN,2021,0.6308266320819997
JPN,2022,0.7402080492983101
JPN,2023,0.8499186024512306
JPN,2024,0.9565601339841872
ALB,2005,0.3603089645039717
ALB,2006,0.3603089645039717
ALB,2007,0.3603089645039717
ALB,2008,0.3603089645039717
ALB,2009,0.3603089645039717
ALB,2010,0.3603089645039717
ALB,2011,0.3603089645039717
ALB,2012,0.3603089645039717
ALB,2013,0.3603089645039717
ALB,2014,0.3603089645039717
ALB,2015,0.3603089645039717
ALB,2016,0.3603089645039717
ALB,2017,0.3603089645039717
ALB,2018,0.3603089645039717
ALB,2019,0.3603089645039717
ALB,2020,0.3603089645039717
ALB,2021,0.3603089645039717
ALB,2022,0.3603089645039717
ALB,2023,0.3603089645039717
ALB,2024,0.3603089645039717
MDV,2005,0.2981813315991456
MDV,2006,0.2981813315991456
MDV,2007,0.2981813315991456
MDV,2008,0.2981813315991456
MDV,2009,0.2981813315991456
MDV,2010,0.2981813315991456
MDV,2011,0.2981813315991456
MDV,2012,0.2981813315991456
MDV,2013,0.2981813315991456
MDV,2014,0.2981813315991456
MDV,2015,0.2981813315991456
MDV,2016,0.2981813315991456
MDV,2017,0.2981813315991456
MDV,2018,0.2981813315991456
MDV,2019,0.2981813315991456
MDV,2020,0.2981813315991456
MDV,2021,0.2981813315991456
MDV,2022,0.2981813315991456
MDV,2023,0.2981813315991456
MDV,2024,0.2981813315991456
BDI,2005,0.2598315670752621
BDI,2006,0.2598315670752621
BDI,2007,0.2598315670752621
BDI,2008,0.2598315670752621
BDI,2009,0.2598315670752621
BDI,2010,0.2598315670752621
